category,country,query,priority
AI_factory,US,"AI factory infrastructure data center power cooling GPU",high
AI_factory,US,"AI gigafactory data center power demand",high
AI_factory,US,"GPU factory infrastructure AI compute campus",medium
sovereign_AI,Global,"sovereign AI infrastructure national compute capacity",high
sovereign_AI,Korea,"Korea sovereign AI infrastructure GPU cloud data center",high
sovereign_AI,Japan,"Japan sovereign AI infrastructure GPU cloud data center",medium
sovereign_AI,EU,"EU sovereign AI cloud infrastructure data centers",medium
GPU_cloud,US,"GPU cloud provider data center power infrastructure",high
GPU_cloud,US,"neocloud GPU data center power demand",high
GPU_cloud,US,"CoreWeave data center power infrastructure",high
GPU_cloud,US,"Lambda GPU cloud infrastructure data center",medium
GPU_cloud,US,"Crusoe AI data center power generation",medium
behind_meter_power,US,"behind the meter data center power generation",high
behind_meter_power,US,"co-located power generation data center campus",high
behind_meter_power,US,"off-grid AI data center power infrastructure",high
SMR_nuclear,US,"SMR data center power AI infrastructure",high
SMR_nuclear,US,"nuclear power AI data center electricity demand",high
SMR_nuclear,US,"small modular reactor data center hyperscale",medium
dispatchable_power,US,"dispatchable power data center AI infrastructure",high
dispatchable_power,US,"firm power supply data center electricity demand",high
dispatchable_power,US,"natural gas power data center AI campus",medium
energy_procurement,US,"hyperscaler energy procurement data center power purchase agreement",high
energy_procurement,US,"AI data center power purchase agreement",high
energy_procurement,US,"corporate PPA data center renewable energy",medium
grid_interconnection,US,"large load interconnection data center delay",high
grid_interconnection,US,"AI data center grid interconnection constraints",high
grid_interconnection,US,"transmission queue data center power demand",medium
site_selection,US,"data center site selection criteria power cooling fiber",high
site_selection,US,"hyperscale data center location factors power availability",high
site_selection,US,"AI data center campus site requirements",medium
water_cooling,US,"data center water consumption cooling AI",high
water_cooling,US,"AI data center water risk cooling demand",medium
water_cooling,US,"liquid cooling water demand data center",medium
liquid_cooling,US,"liquid cooling data center GPU rack density",high
liquid_cooling,US,"immersion cooling AI data center infrastructure",medium
liquid_cooling,US,"direct to chip cooling GPU data center",medium
workload_positioning,US,"AI training workload data center location power latency",high
workload_positioning,US,"batch AI compute infrastructure data center",medium
workload_positioning,US,"AI training vs inference data center requirements",medium
category,country,query,priority
asia_direct_service,US-Alaska,"Alaska data center direct service Asia latency",high
asia_direct_service,US-Alaska,"Alaska Japan Korea data center latency",high
asia_direct_service,US-Alaska,"transpacific subsea cable latency Alaska Asia",high
asia_direct_service,Global,"AI training workload latency tolerance data center",medium
asia_direct_service,Global,"batch AI compute data center location latency",medium
latency_workload_fit,Global,"AI training vs inference latency data center",high
latency_workload_fit,Global,"latency sensitive workloads data center location",high
latency_workload_fit,Global,"edge data center low latency manufacturing robotics",medium
latency_workload_fit,Global,"industrial IoT data center latency requirements",medium
asia_enterprise_na_expansion,Korea,"Korean manufacturers North America expansion cloud data center",high
asia_enterprise_na_expansion,Japan,"Japanese manufacturers North America data center cloud infrastructure",medium
asia_enterprise_na_expansion,Taiwan,"Taiwan semiconductor North America data center infrastructure",medium
manufacturing_data_workload,Global,"manufacturing sensor data analytics cloud data center",high
manufacturing_data_workload,Global,"industrial IoT data storage analytics data center",medium
manufacturing_data_workload,Global,"manufacturing quality data AI analytics cloud",medium
hyperscaler_partnership,US,"hyperscale data center site selection power availability",high
hyperscaler_partnership,US,"AI data center power purchase agreement hyperscaler",high
hyperscaler_partnership,US,"behind the meter data center power hyperscale",high
hyperscaler_partnership,US,"GPU cloud provider data center power infrastructure",high
hyperscaler_partnership,US,"hyperscaler renewable energy procurement data center",medium
subsea_telecom_partnership,Arctic,"Arctic subsea cable investment data center",high
subsea_telecom_partnership,Arctic,"subsea cable consortium hyperscaler telecom",high
subsea_telecom_partnership,US-Alaska,"transpacific fiber route Alaska data center",high
subsea_telecom_partnership,Global,"subsea cable route diversity cloud infrastructure",medium
subsea_telecom_partnership,Global,"subsea cable landing station regulation national security",medium
cloud_interconnect,Global,"data center direct cloud connection latency cost",medium
cloud_interconnect,Global,"AWS Direct Connect data center colocation",medium
cloud_interconnect,Global,"Azure ExpressRoute data center colocation",medium
cloud_interconnect,Global,"Google Cloud Interconnect data center colocation",medium
offtake_financing,Global,"data center anchor tenant take or pay agreement",high
offtake_financing,Global,"hyperscale data center long term lease power agreement",high
offtake_financing,Global,"data center power purchase agreement financing",medium
regulatory_security,US,"Team Telecom subsea cable national security agreement",high
regulatory_security,Global,"subsea cable security data sovereignty cloud",medium
regulatory_security,Asia,"Asia data center data sovereignty regulation cloud",medium
apac_customer_target,Korea,"Naver Cloud GPU AI infrastructure data center",medium
apac_customer_target,Korea,"KT Cloud AI data center GPU infrastructure",medium
apac_customer_target,Japan,"Sakura Internet GPU cloud data center Japan",medium
apac_customer_target,Japan,"SoftBank AI data center GPU infrastructure",medium
apac_customer_target,Taiwan,"Taiwan semiconductor AI server data center demand",medium
category,country,query,priority
korea_customer_benefit,Korea,"Korean customers benefits Alaska data center AI infrastructure",high
korea_ai_demand,Korea,"Korea AI infrastructure GPU cloud data center demand",high
korea_ai_demand,Korea,"NVIDIA South Korea AI infrastructure GPU",high
korea_ai_demand,Korea,"Korea sovereign AI infrastructure data center",high
korea_gpu_cloud,Korea,"Naver Cloud GPU infrastructure data center",medium
korea_gpu_cloud,Korea,"KT Cloud GPU cloud data center",medium
korea_gpu_cloud,Korea,"NHN Cloud GPU AI infrastructure",medium
korea_data_center_constraints,Korea,"South Korea data center power constraints Seoul",high
korea_data_center_constraints,Korea,"Korea data center power shortage AI",high
korea_data_center_constraints,Korea,"Korea data center market Seoul concentration",medium
korea_energy_cost,Korea,"Korea data center electricity cost AI infrastructure",medium
korea_energy_cost,Korea,"Korea data center cooling cost GPU AI",medium
korea_manufacturing_na_expansion,Korea,"Korean manufacturers North America expansion data infrastructure",high
korea_manufacturing_na_expansion,Korea,"Samsung US semiconductor plant data infrastructure",medium
korea_manufacturing_na_expansion,Korea,"Hyundai US EV plant manufacturing data analytics",medium
korea_manufacturing_na_expansion,Korea,"LG Energy Solution US battery plant data center",medium
korea_manufacturing_na_expansion,Korea,"SK On US battery manufacturing data analytics",medium
korea_semiconductor_ai,Korea,"Korean semiconductor AI infrastructure data center demand",high
korea_semiconductor_ai,Korea,"Samsung SK Hynix AI memory data center demand",high
korea_dr_backup,Korea,"Korea enterprise disaster recovery cloud data center",medium
korea_dr_backup,Korea,"geo redundant data center disaster recovery Asia US",medium
korea_latency_fit,Korea,"AI training workload latency tolerance Korea data center",medium
korea_latency_fit,Korea,"Korea AI training vs inference data center latency",medium
korea_latency_fit,Korea,"batch AI compute data center location Korea",medium
